station_m,wl_0.000m,wl_0.635m,wl_1.269m,wl_1.904m,wl_2.538m,wl_3.173m,wl_3.808m,wl_4.442m,wl_5.077m,wl_5.712m,wl_6.346m,wl_6.981m,wl_7.615m,wl_8.250m,wl_8.885m,wl_9.519m,wl_10.154m,wl_10.788m,wl_11.423m,wl_12.058m,wl_12.692m,wl_13.327m,wl_13.962m,wl_14.596m,wl_15.231m,wl_15.865m,wl_16.500m
0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2769,0.8308,1.3846,1.9385,2.4923,3.0462,3.6000
14.000,1.9179,3.0222,4.0841,4.3411,4.5981,4.8550,5.1120,5.3447,5.5530,5.7613,5.9696,6.1779,6.3862,6.5945,6.9735,7.3525,7.7316,8.1106,8.4896,8.8686,9.4011,10.0871,10.7730,11.4590,12.1450,12.8309,13.5169
28.000,5.3650,7.2361,9.0390,9.5432,10.0474,10.5516,11.0558,11.4870,11.8451,12.2033,12.5614,12.9196,13.2777,13.6359,14.0168,14.3977,14.7786,15.1595,15.5404,15.9213,16.2874,16.6385,16.9897,17.3409,17.6921,18.0433,18.3944
42.000,9.3767,11.4844,13.5156,14.0940,14.6724,15.2508,15.8291,16.2880,16.6274,16.9667,17.3061,17.6454,17.9848,18.3241,18.5646,18.8051,19.0456,19.2861,19.5266,19.7672,19.9672,20.1268,20.2865,20.4461,20.6057,20.7653,20.9250
56.000,13.1023,15.0843,16.9936,17.5232,18.0527,18.5822,19.1118,19.4940,19.7289,19.9639,20.1988,20.4337,20.6687,20.9036,21.0210,21.1384,21.2558,21.3732,21.4906,21.6080,21.6970,21.7577,21.8184,21.8790,21.9397,22.0004,22.0610
70.000,15.9232,17.6824,19.3740,19.7837,20.1934,20.6030,21.0127,21.2812,21.4085,21.5358,21.6631,21.7904,21.9177,22.0450,22.0899,22.1349,22.1798,22.2247,22.2696,22.3145,22.3441,22.3585,22.3728,22.3871,22.4015,22.4158,22.4301
84.000,17.6749,19.2641,20.7884,21.0799,21.3715,21.6630,21.9546,22.1253,22.1752,22.2251,22.2750,22.3250,22.3749,22.4248,22.4364,22.4479,22.4595,22.4711,22.4826,22.4942,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000
98.000,18.6110,20.0841,21.4942,21.7057,21.9171,22.1286,22.3401,22.4500,22.4583,22.4667,22.4750,22.4833,22.4917,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000
112.000,19.0485,20.4388,21.7677,21.9304,22.0931,22.2559,22.4186,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000
126.000,19.1250,20.5096,21.8324,21.9808,22.1291,22.2775,22.4258,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000
140.000,19.1250,20.5096,21.8324,21.9808,22.1291,22.2775,22.4258,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000
154.000,19.1250,20.5096,21.8324,21.9808,22.1291,22.2775,22.4258,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000
168.000,19.1250,20.5096,21.8324,21.9808,22.1291,22.2775,22.4258,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000
182.000,19.1250,20.5096,21.8324,21.9808,22.1291,22.2775,22.4258,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000
196.000,19.1250,20.5096,21.8324,21.9808,22.1291,22.2775,22.4258,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000
210.000,19.0429,20.4264,21.7485,21.9048,22.0611,22.2173,22.3736,22.4540,22.4584,22.4629,22.4673,22.4718,22.4762,22.4807,22.4837,22.4866,22.4896,22.4926,22.4955,22.4985,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000,22.5000
224.000,18.8127,20.2114,21.5490,21.7248,21.9006,22.0765,22.2523,22.3472,22.3614,22.3755,22.3896,22.4037,22.4179,22.4320,22.4403,22.4487,22.4571,22.4654,22.4738,22.4822,22.4872,22.4890,22.4907,22.4925,22.4942,22.4960,22.4977
238.000,18.0640,19.5329,20.9400,21.1731,21.4062,21.6392,21.8723,22.0098,22.0518,22.0938,22.1358,22.1778,22.2198,22.2618,22.2845,22.3071,22.3298,22.3525,22.3752,22.3978,22.4137,22.4226,22.4316,22.4405,22.4495,22.4585,22.4674
252.000,15.3206,17.0967,18.8033,19.1889,19.5745,19.9601,20.3456,20.6002,20.7238,20.8474,20.9710,21.0946,21.2182,21.3417,21.4041,21.4665,21.5289,21.5913,21.6537,21.7161,21.7644,21.7987,21.8330,21.8672,21.9015,21.9358,21.9700
266.000,8.4548,10.6649,12.7932,13.3668,13.9404,14.5139,15.0875,15.4781,15.6859,15.8936,16.1014,16.3091,16.5168,16.7246,16.8195,16.9145,17.0094,17.1043,17.1993,17.2942,17.3738,17.4381,17.5023,17.5666,17.6309,17.6951,17.7594
280.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
